Id,SubId
group_0000,w_07d4b0a w_b2ef717
group_0001,w_2e5ad54 w_6eb10d2
group_0002,w_38c8a8d w_72fea5e w_7a4b2f9
group_0003,w_b2bc0c9 w_e89442d
group_0004,w_0dc84fd w_eeea781
group_0005,w_228c7ee w_f94fc92
group_0006,w_32e705d w_bbf0c38
group_0007,w_497efb9 w_50155e6
group_0008,w_5010896 w_a1a0090
group_0009,w_5616581 w_f9bffb5
group_0010,w_3729146 w_7d46ac3
group_0011,w_1d532b4 w_b54f70f
group_0012,w_169a302 w_feb4051
group_0013,w_04de239 w_21fd105
group_0014,w_43fc74c w_57db059
group_0015,w_2f8de4f w_f7234f1
group_0016,w_315c854 w_d1f35d6
group_0017,w_169253a w_94e8c02
group_0018,w_298f605 w_43614bc
group_0019,w_3154c82 w_358c519
group_0020,w_2623921 w_f5d4627
group_0021,w_1d35a02 w_f84e6e1 w_fae4be5
group_0022,w_0ee7878 w_954fec8
group_0023,w_6525e6b w_f1b016e
group_0024,w_54e7b40 w_820e136
group_0025,w_662c89b w_eb31833
group_0026,w_7d8c37c w_f91389a
group_0027,w_022b708 w_d215a68
group_0028,w_5072c08 w_8694cb5
group_0029,w_62b631e w_c7e1b12
group_0030,w_5fcf350 w_e21b25f
group_0031,w_0323574 w_86220e0
group_0032,w_27272a5 w_7e5b9da
group_0033,w_51e0e04 w_e568bb4
group_0034,w_0a0c768 w_b5e6c9c
group_0035,w_5313587 w_6579856
group_0036,w_844b91e w_fdceb44
group_0037,w_0532483 w_444b771
group_0038,w_92a47eb w_ea6a9f4
group_0039,w_185044d w_bd18f3c
group_0040,w_5083a58 w_a10515b
group_0041,w_a6df3a5 w_cded134
group_0042,w_0d5fa2c w_ecb61a0
group_0043,w_597758e w_7efe670
group_0044,w_012678c w_f497e3f
group_0045,w_5ccee38 w_9af8493
group_0046,w_591a2c5 w_7330627
group_0047,w_25d662d w_d2facb4
group_0048,w_3d7bc85 w_cb0e8c2
group_0049,w_d92b4c4 w_da651f6
group_0050,w_6fe3566 w_a44a9b2
group_0051,w_090c08a w_57bc12e
group_0052,w_52162eb w_a112639
group_0053,w_28218e1 w_62bb54b
group_0054,w_0655a0d w_108b2ed
group_0055,w_115e880 w_8431ae8
group_0056,w_297e53a w_9f2cfff
group_0057,w_07125ed w_79b8562
group_0058,w_4112f9a w_f3f887e
group_0059,w_2fdf4cb w_b78835b
group_0060,w_19f507e w_b43d0fa
group_0061,w_6dbfd7a w_993320b
group_0062,w_3789389 w_ea2d2f9
group_0063,w_353d249 w_af1d57b
group_0064,w_950c471 w_c1b90d1
group_0065,w_56af0a9 w_ad91d77
group_0066,w_9ffc9aa w_e12b78d
group_0067,w_2ac2bac w_3bf887a
group_0068,w_706e4fb w_c1715f5
group_0069,w_9cf0388 w_fe94155
group_0070,w_5ce4848 w_81ed5f8
group_0071,w_3f213d5 w_f119baa
group_0072,w_8fad4d2 w_d395243
group_0073,w_2f350be w_6f22173
group_0074,w_2ed0d2f w_7537a43
group_0075,w_4e00a18 w_6c2aa5f
group_0076,w_5b262f1 w_fc6dd24
group_0077,w_808d40b w_b035775
group_0078,w_aa0dacc w_b82d0eb
group_0079,w_a335fc2 w_c99807e
group_0080,w_0fe6fbb w_a32898d
group_0081,w_26ba5fd w_8daccba
group_0082,w_b6e4761 w_bfecb74
group_0083,w_9bde64d w_b3cc7b3
group_0084,w_6e85f95 w_e1ffbe2
group_0085,w_6caa59f w_7547b9a
group_0086,w_3a4789b w_eec4e46
group_0087,w_4c2af2c w_c562266
group_0088,w_dcbdd01 w_8be0240
